IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.66.3,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,19423 kB/s
47.238.6.58,2053,true,HKG,Asia Pacific,Hong Kong,71 ms,19240 kB/s
8.217.239.116,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,16104 kB/s
47.243.206.150,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,15727 kB/s
47.243.26.83,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,14085 kB/s
47.76.227.128,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,12889 kB/s
47.76.192.24,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,12856 kB/s
8.217.127.73,2053,true,HKG,Asia Pacific,Hong Kong,57 ms,12580 kB/s
47.76.192.24,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,12421 kB/s
8.210.65.1,2087,true,HKG,Asia Pacific,Hong Kong,54 ms,12009 kB/s
47.242.202.230,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,11553 kB/s
47.76.37.57,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,11322 kB/s
47.76.37.57,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,11267 kB/s
47.76.214.139,2087,true,HKG,Asia Pacific,Hong Kong,55 ms,11205 kB/s
47.76.26.26,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,10873 kB/s
8.219.42.72,2096,true,SIN,Asia Pacific,Singapore,87 ms,10688 kB/s
8.219.42.72,443,true,SIN,Asia Pacific,Singapore,88 ms,10388 kB/s
47.76.94.15,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,10098 kB/s
47.76.33.40,2083,true,HKG,Asia Pacific,Hong Kong,70 ms,9847 kB/s
47.243.26.83,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,9546 kB/s
47.76.26.26,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,9162 kB/s
47.76.227.128,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,8865 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,213 ms,8851 kB/s
47.236.232.148,2087,true,SIN,Asia Pacific,Singapore,220 ms,8578 kB/s
47.237.95.13,2083,true,SIN,Asia Pacific,Singapore,225 ms,8523 kB/s
47.238.35.50,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,8300 kB/s
47.245.96.80,2083,true,SIN,Asia Pacific,Singapore,239 ms,8179 kB/s
47.237.121.38,8443,true,SIN,Asia Pacific,Singapore,217 ms,8034 kB/s
47.237.95.156,2087,true,SIN,Asia Pacific,Singapore,217 ms,7826 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,219 ms,7572 kB/s
47.76.33.40,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,7390 kB/s
47.76.227.128,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,7277 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,227 ms,7261 kB/s
47.76.33.40,2053,true,HKG,Asia Pacific,Hong Kong,79 ms,7007 kB/s
47.236.144.196,8443,true,SIN,Asia Pacific,Singapore,225 ms,6893 kB/s
